Allocate | Qureg[0]
Allocate | Qureg[1]
Allocate | Qureg[2]
Allocate | Qureg[3]
Allocate | Qureg[4]
Allocate | Qureg[5]
Allocate | Qureg[6]
Allocate | Qureg[7]
Allocate | Qureg[8]
Allocate | Qureg[9]
Allocate | Qureg[10]
Allocate | Qureg[11]
Allocate | Qureg[12]
Allocate | Qureg[13]
X | Qureg[0]
X | Qureg[1]
X | Qureg[2]
X | Qureg[3]
X | Qureg[4]
X | Qureg[5]
X | Qureg[6]
X | Qureg[7]
X | Qureg[8]
X | Qureg[9]
Rx(1.570796326795) | Qureg[0]
H | Qureg[10]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[2] )
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[5], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[9], Qureg[10] )
Rz(3.9610829e-05) | Qureg[10]
CX | ( Qureg[9], Qureg[10] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[5], Qureg[6] )
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[1], Qureg[2] )
CX | ( Qureg[0], Qureg[1] )
H | Qureg[10]
Rx(10.995574287564) | Qureg[0]
H | Qureg[0]
Rx(1.570796326795) | Qureg[10]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[2] )
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[5], Qureg[6] )
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[9], Qureg[10] )
Rz(12.566331003531) | Qureg[10]
CX | ( Qureg[9], Qureg[10] )
CX | ( Qureg[8], Qureg[9] )
CX | ( Qureg[7], Qureg[8] )
CX | ( Qureg[6], Qureg[7] )
CX | ( Qureg[5], Qureg[6] )
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[1], Qureg[2] )
CX | ( Qureg[0], Qureg[1] )
Rx(10.995574287564) | Qureg[10]
H | Qureg[0]
Rx(1.570796326795) | Qureg[0]
Rx(1.570796326795) | Qureg[1]
Rx(1.570796326795) | Qureg[10]
H | Qureg[11]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[10] )
CX | ( Qureg[10], Qureg[11] )
