Allocate | Qureg[0]
Allocate | Qureg[1]
Allocate | Qureg[2]
Allocate | Qureg[3]
Allocate | Qureg[4]
Allocate | Qureg[5]
Allocate | Qureg[6]
Allocate | Qureg[7]
Allocate | Qureg[8]
Allocate | Qureg[9]
Allocate | Qureg[10]
Allocate | Qureg[11]
X | Qureg[0]
X | Qureg[1]
X | Qureg[2]
X | Qureg[3]
Rx(1.570796326795) | Qureg[0]
H | Qureg[4]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[2] )
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[4] )
Rz(0.00099842083) | Qureg[4]
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[1], Qureg[2] )
CX | ( Qureg[0], Qureg[1] )
H | Qureg[4]
Rx(10.995574287564) | Qureg[0]
H | Qureg[0]
Rx(1.570796326795) | Qureg[4]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[2] )
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[3], Qureg[4] )
Rz(12.56537219353) | Qureg[4]
CX | ( Qureg[3], Qureg[4] )
CX | ( Qureg[2], Qureg[3] )
CX | ( Qureg[1], Qureg[2] )
CX | ( Qureg[0], Qureg[1] )
Rx(10.995574287564) | Qureg[4]
H | Qureg[0]
Rx(1.570796326795) | Qureg[0]
Rx(1.570796326795) | Qureg[1]
Rx(1.570796326795) | Qureg[4]
H | Qureg[5]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
Rz(12.565734344907) | Qureg[5]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[1], Qureg[4] )
CX | ( Qureg[0], Qureg[1] )
H | Qureg[5]
Rx(10.995574287564) | Qureg[4]
Rx(10.995574287564) | Qureg[1]
Rx(10.995574287564) | Qureg[0]
Rx(1.570796326795) | Qureg[0]
H | Qureg[1]
Rx(1.570796326795) | Qureg[4]
Rx(1.570796326795) | Qureg[5]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
Rz(0.000636269452) | Qureg[5]
CX | ( Qureg[4], Qureg[5] )
CX | ( Qureg[1], Qureg[4] )
CX | ( Qureg[0], Qureg[1] )
Rx(10.995574287564) | Qureg[5]
Rx(10.995574287564) | Qureg[4]
H | Qureg[1]
Rx(10.995574287564) | Qureg[0]
H | Qureg[0]
H | Qureg[1]
Rx(1.570796326795) | Qureg[4]
H | Qureg[5]
CX | ( Qureg[0], Qureg[1] )
CX | ( Qureg[1], Qureg[4] )
CX | ( Qureg[4], Qureg[5] )
Rz(0.000636269452) | Qureg[5]
CX | ( Qureg[4], Qureg[5] )
